,id,name,subsystem,reaction,GPR
128,CPC6R,Precorrin-6A reductase,Cofactor and Prosthetic Group Biosynthesis,copre6[c] + h[c] + nadph[c] --> codhpre6[c] + nadp[c],Rv2070c
129,CPPPGO,Coproporphyrinogen oxidase (O2 required),Cofactor and Prosthetic Group Biosynthesis,cpppg3[c] + 2.0 h[c] + o2[c] --> 2.0 co2[c] + 2.0 h2o[c] + pppg9[c],Rv2388c
130,CYRDAAT,"Cob(I)yrinic acid a,c-diamide adenosyltransferase",Cofactor and Prosthetic Group Biosynthesis,atp[c] + co1dam[c] + h[c] --> adcobdam[c] + pppi[c],Rv2849c
131,CYRDAR2,"Cob(II)yrinic acid a,c-diamide reductase (fmn-dependent)",Cofactor and Prosthetic Group Biosynthesis,2.0 co2dam[c] + fmnh2[c] --> 2.0 co1dam[c] + fmn[c] + 2.0 h[c],
132,DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",Cofactor and Prosthetic Group Biosynthesis,ru5p__D[c] --> db4p[c] + for[c] + h[c],Rv1940
133,DBTS,Dethiobiotin synthase,Cofactor and Prosthetic Group Biosynthesis,atp[c] + co2[c] + dann[c] <=> adp[c] + dtbt[c] + 3.0 h[c] + pi[c],Rv1570
134,DHNAOT,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",Cofactor and Prosthetic Group Biosynthesis,dhna[c] + octdp[c] --> 2dmmq8[c] + co2[c] + h[c] + ppi[c],Rv0534c
135,DMATT,Dimethylallyltranstransferase,Cofactor and Prosthetic Group Biosynthesis,dmpp[c] + ipdp[c] --> grdp[c] + ppi[c],Rv3398c or Rv3383c or Rv2173
136,DMPPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp),Cofactor and Prosthetic Group Biosynthesis,h2mb4p[c] + h[c] + nadh[c] --> dmpp[c] + h2o[c] + nad[c],Rv1110
137,FCLT,Ferrochelatase,Cofactor and Prosthetic Group Biosynthesis,fe2[c] + ppp9[c] --> 2.0 h[c] + pheme[c],Rv1485
138,FCLT2,FCLT2,Cofactor and Prosthetic Group Biosynthesis,fmcbtt[c] + ppp9[c] --> 2.0 h[c] + mcbtt[c] + pheme[c],Rv1485
139,FOMETRi,Aminomethyltransferase,Cofactor and Prosthetic Group Biosynthesis,5fthf[c] + h[c] <=> h2o[c] + methf[c],Rv2211c
140,FTHFCL,5 formethyltetrahydrofolate cyclo ligase,Cofactor and Prosthetic Group Biosynthesis,5fthf[c] + atp[c] --> adp[c] + methf[c] + pi[c],Rv0992c
141,G1SAT,Glutamate-1-semialdehyde aminotransferase,Cofactor and Prosthetic Group Biosynthesis,glu1sa[c] --> 5aop[c],Rv0524
142,GTPCII2,GTP cyclohydrolase II (25drapp),Cofactor and Prosthetic Group Biosynthesis,gtp[c] + 3.0 h2o[c] --> 25drapp[c] + for[c] + 2.0 h[c] + ppi[c],Rv1415 or Rv1940
143,HMBS,Hydroxymethylbilane synthase,Cofactor and Prosthetic Group Biosynthesis,h2o[c] + 4.0 ppbng[c] --> hmbil[c] + 4.0 nh4[c],Rv0510
144,HMPK1,Hydroxymethylpyrimidine kinase (ATP),Cofactor and Prosthetic Group Biosynthesis,4ahmmp[c] + atp[c] --> 4ampm[c] + adp[c] + h[c],Rv0422c
145,HMPK2,Hydroxymethylpyrimidine kinase (CTP),Cofactor and Prosthetic Group Biosynthesis,4ahmmp[c] + ctp[c] --> 4ampm[c] + cdp[c] + h[c],Rv0422c
146,HMPK3,Hydroxymethylpyrimidine kinase (UTP),Cofactor and Prosthetic Group Biosynthesis,4ahmmp[c] + utp[c] --> 4ampm[c] + h[c] + udp[c],Rv0422c
147,HMPK4,Hydroxymethylpyrimidine kinase (GTP),Cofactor and Prosthetic Group Biosynthesis,4ahmmp[c] + gtp[c] --> 4ampm[c] + gdp[c] + h[c],Rv0422c
148,MPML,Mg-protoporphyrin IX magnesium-lyase,Cofactor and Prosthetic Group Biosynthesis,atp[c] + h2o[c] + mg2[c] + ppp9[c] <=> adp[c] + 3.0 h[c] + mppp9[c] + pi[c],Rv2850c or Rv0958
149,NADTRHD,NAD transhydrogenase,Cofactor and Prosthetic Group Biosynthesis,nad[c] + nadph[c] --> nadh[c] + nadp[c],Rv2713 or (Rv0155 and Rv0156 and Rv0157)
150,NO3R1,Nitrate reductase (Ubiquinol-8),Cofactor and Prosthetic Group Biosynthesis,2.0 h[c] + no3[c] + q8h2[c] --> h2o[c] + 2.0 h[e] + no2[c] + q8[c],(Rv1161 and Rv1162 and Rv1164 and Rv1163) or Rv1736c
151,NO3R2,Nitrate reductase (Menaquinol-8),Cofactor and Prosthetic Group Biosynthesis,2.0 h[c] + mql8[c] + no3[c] --> h2o[c] + 2.0 h[e] + mqn8[c] + no2[c],Rv1161 and Rv1162 and Rv1163 and Rv1164 and Rv1736c
152,NPHS,Naphthoate synthase,Cofactor and Prosthetic Group Biosynthesis,sbzcoa[c] --> coa[c] + dhna[c],Rv0548c
153,NTRIRx,Nitrite reductase (NADH),Cofactor and Prosthetic Group Biosynthesis,4.0 h[c] + 3.0 nadh[c] + no2[c] --> h2o[c] + 3.0 nad[c] + nh4oh[c],Rv0252 and Rv0253
154,PC11M,Precorrin-4 C11-methyltransferase,Cofactor and Prosthetic Group Biosynthesis,amet[c] + pre4[c] --> ahcys[c] + h[c] + pre5[c],Rv2071c
155,PC17M,Precorrin-3B C17-methyltransferase,Cofactor and Prosthetic Group Biosynthesis,amet[c] + pre3b[c] --> ahcys[c] + 3.0 h[c] + pre4[c],Rv2066
156,PC20M,Precorrin-2 C20-methyltransferase,Cofactor and Prosthetic Group Biosynthesis,amet[c] + dscl[c] --> ahcys[c] + h[c] + pre3a[c],Rv2066
157,PC6AR,Precorrin-6A reductase,Cofactor and Prosthetic Group Biosynthesis,h[c] + nadph[c] + pre6a[c] --> nadp[c] + pre6b[c],Rv2070c
158,PC6YM,"Precorrin-6Y C5,15-methyltransferase (decarboxylating)",Cofactor and Prosthetic Group Biosynthesis,2.0 amet[c] + pre6b[c] --> 2.0 ahcys[c] + co2[c] + 2.0 h[c] + pre8[c],Rv2072c
159,PC8XM,Precorrin-8X methylmutase,Cofactor and Prosthetic Group Biosynthesis,h[c] + pre8[c] --> hgbyr[c],Rv2065
160,PMDPHT,Pyrimidine phosphatase,Cofactor and Prosthetic Group Biosynthesis,5aprbu[c] + h2o[c] --> 4r5au[c] + pi[c],
161,PNCDC,PNCDC,Cofactor and Prosthetic Group Biosynthesis,h[c] + ptcys[c] --> co2[c] + ptth[c],Rv1092c
162,PPBNGS,Porphobilinogen synthase,Cofactor and Prosthetic Group Biosynthesis,2.0 5aop[c] --> 2.0 h2o[c] + h[c] + ppbng[c],Rv0512
163,PPNCL3,4'-Phosphopantothenate:L-cysteine ligase,Cofactor and Prosthetic Group Biosynthesis,4ppan[c] + atp[c] + cys__L[c] --> 4ppcys[c] + amp[c] + h[c] + ppi[c],Rv1391
164,PPPGO,Protoporphyrinogen oxidase (aerobic),Cofactor and Prosthetic Group Biosynthesis,1.5 o2[c] + pppg9[c] --> 3.0 h2o[c] + ppp9[c],Rv2677c
165,PYDXNO,Pyridoxine oxidase,Cofactor and Prosthetic Group Biosynthesis,o2[c] + pydxn[c] <=> h2o2[c] + pydx[c],Rv2607
166,PYDXO,Pyridoxal oxidase,Cofactor and Prosthetic Group Biosynthesis,2.0 h2o[c] + nh4[c] + 0.5 o2[c] + pydx[c] <=> 2.0 h2o2[c] + pydam[c],Rv2607
167,R05217,Precorrin 3A + Oxygen <=> Precorrin 3B,Cofactor and Prosthetic Group Biosynthesis,h[c] + 0.5 o2[c] + pre3a[c] --> pre3b[c],Rv2064
168,R05219,Precorrin 5 <=> Precorrin 6X,Cofactor and Prosthetic Group Biosynthesis,amet[c] + h2o[c] + pre5[c] --> ac[c] + ahcys[c] + h[c] + pre6a[c],
169,R05224_2,"Hydrogenobyrinate  <=> Hydrogenobyrinate a,c diamide",Cofactor and Prosthetic Group Biosynthesis,2.0 atp[c] + 2.0 gln__L[c] + h2o[c] + hgbyr[c] --> 2.0 adp[c] + 2.0 glu__L[c] + 2.0 h[c] + hgbam[c] + ppi[c],Rv2848c
170,RZ5PP,Alpha-ribazole 5-phosphate phosphatase,Cofactor and Prosthetic Group Biosynthesis,5prdmbz[c] + h2o[c] --> pi[c] + rdmbzi[c],Rv2228c or Rv3113
171,SHCHD2,Sirohydrochlorin dehydrogenase (NAD),Cofactor and Prosthetic Group Biosynthesis,dscl[c] + nad[c] --> h[c] + nadh[c] + scl[c],Rv2847c
172,SHCHD3,SHCHD3,Cofactor and Prosthetic Group Biosynthesis,dscl[c] + nad[c] --> h[c] + nadh[c] + scl2[c],Rv2847c
173,SHCHF,Sirohydrochlorin ferrochelatase,Cofactor and Prosthetic Group Biosynthesis,fe2[c] + scl[c] --> 3.0 h[c] + sheme[c],Rv2393 or Rv2847c
174,SPODM,Superoxide dismutase,Cofactor and Prosthetic Group Biosynthesis,2.0 h[c] + 2.0 o2s[c] --> h2o2[c] + o2[c],Rv0432 or Rv3846
175,SUCBZL,O-succinylbenzoate-CoA ligase,Cofactor and Prosthetic Group Biosynthesis,atp[c] + coa[c] + sucbz[c] --> amp[c] + ppi[c] + sbzcoa[c],Rv0542c and Rv0553
176,SUCBZS,O-succinylbenzoate-CoA synthase,Cofactor and Prosthetic Group Biosynthesis,2shchc[c] --> h2o[c] + sucbz[c],
177,THMDP,THMDP,Cofactor and Prosthetic Group Biosynthesis,2.0 h2o[c] + thmpp[c] --> h[c] + 2.0 pi[c] + thm[c],Rv3113
178,TMN,Thiaminase,Cofactor and Prosthetic Group Biosynthesis,h2o[c] + thm[c] --> 4ahmmp[c] + 4mhetz[c] + h[c],
179,UDCPDP,Undecaprenyl-diphosphatase,Cofactor and Prosthetic Group Biosynthesis,h2o[c] + udcpdp[c] --> h[c] + pi[c] + udcpp[c],Rv2136c
180,UDCPDPS,Undecaprenyl diphosphate synthase,Cofactor and Prosthetic Group Biosynthesis,frdp[c] + 8.0 ipdp[c] --> 8.0 ppi[c] + udcpdp[c],
181,UPP3MT,Uroporphyrinogen methyltransferase,Cofactor and Prosthetic Group Biosynthesis,2.0 amet[c] + uppg3[c] --> 2.0 ahcys[c] + dscl[c] + h[c],Rv2847c
182,UPP3S,Uroporphyrinogen-III synthase,Cofactor and Prosthetic Group Biosynthesis,hmbil[c] --> h2o[c] + uppg3[c],Rv0511
183,UPPDC1,Uroporphyrinogen decarboxylase (uroporphyrinogen III),Cofactor and Prosthetic Group Biosynthesis,4.0 h[c] + uppg3[c] --> 4.0 co2[c] + cpppg3[c],Rv2678c
184,UPPDC2,Uroporphyrinogen decarboxylase (uroporphyrinogen I),Cofactor and Prosthetic Group Biosynthesis,4.0 h[c] + uppg1[c] --> 4.0 co2[c] + cpppg1[c],Rv2678c
185,DTBTST,R_DTBTST,Cofactor and Prosthetic Group Biosynthesis,2.0 amet[c] + dtbt[c] + s[c] --> btn[c] + 2.0 dad_5[c] + 2.0 met__L[c],Rv1589
186,PYDXS,Pyridoxal 5-phosphate synthase,Cofactor and Prosthetic Group Biosynthesis,g3p[c] + gln__L[c] + ru5p__D[c] --> glu__L[c] + 3.0 h2o[c] + h[c] + pi[c] + pydx5p[c],Rv2604c and Rv2606c
187,PLPS,Pyridoxal-5-phosphate synthase,Cofactor and Prosthetic Group Biosynthesis,g3p[c] + gln__L[c] + r5p[c] --> glu__L[c] + 3.0 h2o[c] + h[c] + pi[c] + pydx5p[c],Rv2604c and Rv2606c
188,PDBL_3,R_PDBL_3,Cofactor and Prosthetic Group Biosynthesis,dhap[c] + gln__L[c] + ru5p__D[c] --> glu__L[c] + 3.0 h2o[c] + h[c] + pi[c] + pydx5p[c],Rv2604c and Rv2606c
189,PDBL_4,R_PDBL_4,Cofactor and Prosthetic Group Biosynthesis,dhap[c] + gln__L[c] + r5p[c] --> glu__L[c] + 3.0 h2o[c] + h[c] + pi[c] + pydx5p[c],Rv2604c and Rv2606c
190,2PLS,2-phospho-L-lactate synthase,Cofactor and Prosthetic Group Biosynthesis,gtp[c] + lac__L[c] --> 2plac__L[c] + gdp[c] + h[c],
191,LPPGS,LPPG synthetase,Cofactor and Prosthetic Group Biosynthesis,2plac__L[c] + gtp[c] + h[c] --> lppg[c] + ppi[c],
192,DMHDRFS_1,DMHDRFS,Cofactor and Prosthetic Group Biosynthesis,34hpp[c] + 4r5au[c] + 2.0 amet[c] + h2o[c] --> 2.0 dad_5[c] + ddhrb[c] + 2.0 met__L[c] + nh4[c] + oxa[c],Rv1173
193,LPFPLT,LPPG:Fo 2-phospho-L-lactate transferase,Cofactor and Prosthetic Group Biosynthesis,ddhrb[c] + lppg[c] --> f420_0[c] + gmp[c] + h[c],Rv3261 and Rv3262
194,GF4GL_7,GF4GL 0,Cofactor and Prosthetic Group Biosynthesis,f420_0[c] + glu__L[c] + gtp[c] --> f420_1[c] + gdp[c] + pi[c],Rv3261
195,GF4GL_1,GF4GL 1,Cofactor and Prosthetic Group Biosynthesis,f420_1[c] + glu__L[c] + gtp[c] --> f420_2[c] + gdp[c] + h[c] + pi[c],Rv3261 and Rv3262
196,CPMPS,Cyclic pyranopterin monophosphate synthase,Cofactor and Prosthetic Group Biosynthesis,gtp[c] + h2o[c] --> cpmp[c] + ppi[c],((Rv3109 or Rv0869c) and Rv3116 and Rv3111)
197,ISCS,ISCS,Cofactor and Prosthetic Group Biosynthesis,cys__L[c] + fe2[c] <=> ala__L[c] + fdxox[c],Rv3025c or Rv1464
198,MOEA1,MNXR79418,Cofactor and Prosthetic Group Biosynthesis,mobd[c] + mptamp[c] --> amp[c] + h2o[c] + moco[c],Rv0994 or Rv0438c
199,MPTAT,Molybdopterin adenylyltransferase,Cofactor and Prosthetic Group Biosynthesis,atp[c] + h[c] + mpt[c] --> mptamp[c] + ppi[c],Rv0865
200,MOBA,MNXR63860,Cofactor and Prosthetic Group Biosynthesis,gmp[c] + h[c] + mpt[c] + nad[c] --> h2o[c] + mocogdp[c] + nadh[c],Rv2453c
201,MOAE1,MNXR85919,Cofactor and Prosthetic Group Biosynthesis,cpmp[c] + h[c] + 2.0 moadcosh[c] --> 2.0 moadcoo[c] + mpt[c],((Rv3119 or Rv0866) and Rv3322c)
202,MOEB1,MNXR88174,Cofactor and Prosthetic Group Biosynthesis,atp[c] + h2s[c] + moadcoo[c] --> amp[c] + h[c] + moadcosh[c] + ppi[c],Rv3206c and Rv3025c
203,ADOCBIAH,MNXR85327,Cofactor and Prosthetic Group Biosynthesis,adocbi[c] + h2o[c] <-- adcobhex[c] + appl[c],Rv2231c
204,COB2,MNXR84736,Cofactor and Prosthetic Group Biosynthesis,2.0 cbl2[c] + nadh[c] <=> 2.0 cbl1[c] + h[c] + nad[c],
205,CBL2OR_1,NADH:cob(III)alamine oxidoreductase,Cofactor and Prosthetic Group Biosynthesis,2.0 aqcobal[c] + nadh[c] <=> 2.0 cbl2[c] + 2.0 h2o[c] + h[c] + nad[c],
206,PHEMEt,Heme transport,Cofactor and Prosthetic Group Biosynthesis,pheme[e] --> pheme[c],((Rv0202c or Rv0206c) and Rv0203)
207,HEMEOS,Heme O synthase,Cofactor and Prosthetic Group Biosynthesis,frdp[c] + h2o[c] + pheme[c] --> hemeO[c] + ppi[c],Rv1451
208,HEMEAS,Heme A synthase,Cofactor and Prosthetic Group Biosynthesis,h2o[c] + hemeO[c] --> 4.0 h[c] + hemeA[c],Rv2194 and Rv2195 and Rv2196 and Rv1456c and Rv3029c and Rv3028c and Rv2200c and Rv3043c and Rv2193 and Rv1623c and Rv1622c
209,GSEALD,GSEALD,Cofactor and Prosthetic Group Biosynthesis,glu__L[c] + 2.0 h[c] + nadph[c] --> glu1sa[c] + h2o[c] + nadp[c],
210,CPPPGO2_1,Oxygen Independent coproporphyrinogen-III oxidase,Cofactor and Prosthetic Group Biosynthesis,2.0 amet[c] + cpppg3[c] --> 2.0 co2[c] + 2.0 dad_2[c] + 2.0 met__L[c] + pppg9[c],Rv2388c
211,FPRA,R01195,Cofactor and Prosthetic Group Biosynthesis,fdxrd[c] + h[c] + nadp[c] --> fdxox[c] + nadph[c],Rv3106 or Rv0886
212,THMP,Thiamin phosphatase,Cofactor and Prosthetic Group Biosynthesis,h2o[c] + thmmp[c] --> pi[c] + thm[c],
213,SHCHCS3,"2-succinyl-6-hydroxy-2,4-cyclohexadiene 1-carboxylate synthase",Cofactor and Prosthetic Group Biosynthesis,2sephchc[c] <=> 2shchc[c] + pyr[c],Rv0555
214,SEPHCHCS,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,Cofactor and Prosthetic Group Biosynthesis,akg[c] + h[c] + ichor[c] <=> 2sephchc[c] + co2[c],Rv0555
215,APPLDHr,Aminopropanol dehydrogenase reversible,Cofactor and Prosthetic Group Biosynthesis,aact[c] + h[c] + nadh[c] --> appl[c] + nad[c],
216,AOBUTDs,L-2-amino-3-oxobutanoate decarboxylation (spontaneous),Cofactor and Prosthetic Group Biosynthesis,2aobut[c] + h[c] --> aact[c] + co2[c],
217,DMBI,MNXR18583,Cofactor and Prosthetic Group Biosynthesis,fmnh2[c] + h[c] + nadh[c] + o2[c] <=> barb[c] + dmbzid[c] + e4p[c] + h2o[c] + nad[c],
218,HETZK,Hydroxyethylthiazole kinase,Cofactor and Prosthetic Group Biosynthesis,4mhetz[c] + atp[c] <=> 4mpetz[c] + adp[c] + h[c],
219,ADMDC,Adenosylmethionine decarboxylase,Cysteine and methionine metabolism,amet[c] + h[c] <=> ametam[c] + co2[c],
220,AHCi,Adenosylhomocysteinase,Cysteine and methionine metabolism,ahcys[c] + h2o[c] <=> adn[c] + hcys__L[c],Rv3248c
221,AHCYSNS,S-adenosylhomocysteine nucleosidase,Cysteine and methionine metabolism,ahcys[c] + h2o[c] --> ade[c] + rhcys[c],Rv0091
222,CYANST,Cyanide sulfurtransferase,Cysteine and methionine metabolism,cyan[c] + tsul[c] --> h[c] + so3[c] + tcynt[c],Rv0815c or Rv2291 or Rv3117 or Rv3283 or Rv0390
223,CYSS,Cysteine synthase,Cysteine and methionine metabolism,acser[c] + h2s[c] --> ac[c] + cys__L[c] + h[c],Rv2334 or Rv1336
224,CYSTL,Cystathionine b-lyase,Cysteine and methionine metabolism,cyst__L[c] + h2o[c] --> hcys__L[c] + nh4[c] + pyr[c],Rv0075 or Rv2294
225,CYSTS,Cystathionine beta synthase,Cysteine and methionine metabolism,hcys__L[c] + ser__L[c] --> cyst__L[c] + h2o[c],Rv1077
226,HCYSMT,Homocysteine S-methyltransferase,Cysteine and methionine metabolism,amet[c] + hcys__L[c] --> ahcys[c] + h[c] + met__L[c],Rv2458
227,HSERTA,Homoserine O trans acetylase,Cysteine and methionine metabolism,accoa[c] + hom__L[c] <=> achms[c] + coa[c],Rv3341
228,METAT,Methionine adenosyltransferase,Cysteine and methionine metabolism,atp[c] + h2o[c] + met__L[c] --> amet[c] + pi[c] + ppi[c],Rv1392
229,METOX1s,Methionine oxidation (spontaneous),Cysteine and methionine metabolism,h2o2[c] + met__L[c] --> h2o[c] + metsox_S__L[c],
230,METOX2s,Methionine oxidation 2 (spontaneous),Cysteine and methionine metabolism,h2o2[c] + met__L[c] --> h2o[c] + metsox_R__L[c],
231,METS,Methionine synthase,Cysteine and methionine metabolism,5mthf[c] + hcys__L[c] --> h[c] + met__L[c] + thf[c],Rv2124c and Rv1133c
232,MHPGLUT,5 methyltetrahydropteroyltriglutamate homocysteine S methyltransferase,Cysteine and methionine metabolism,hcys__L[c] + mhpglu[c] --> hpglu[c] + met__L[c],Rv1133c
233,MTAN,Methylthioadenosine nucleosidase,Cysteine and methionine metabolism,5mta[c] + h2o[c] --> 5mtr[c] + ade[c],Rv0091
234,SERAT,Serine O-acetyltransferase,Cysteine and methionine metabolism,accoa[c] + ser__L[c] --> acser[c] + coa[c],Rv2335
235,SERD_L,L-serine deaminase,Cysteine and methionine metabolism,ser__L[c] --> nh4[c] + pyr[c],Rv0069c
236,SHSL1,O-succinylhomoserine lyase (L-cysteine),Cysteine and methionine metabolism,cys__L[c] + suchms[c] <=> cyst__L[c] + h[c] + succ[c],Rv1079
237,SHSL4r,O succinylhomoserine lyase  elimination   reversible,Cysteine and methionine metabolism,h2o[c] + suchms[c] <=> 2obut[c] + h[c] + nh4[c] + succ[c],Rv1079
238,THRD_L,L-threonine deaminase,Cysteine and methionine metabolism,thr__L[c] --> 2obut[c] + nh4[c],Rv1559
239,AHSERL2,O acetylhomoserine  thiol  lyase,Cysteine and methionine metabolism,achms[c] + h2s[c] --> ac[c] + h[c] + hcys__L[c],Rv3340
240,CYST_II,R_CYST_II,Cysteine and methionine metabolism,h2s[c] + pser__L[c] --> cys__L[c] + pi[c],Rv0848
241,SHSL2r,O-succinylhomoserine lyase (H2S),Cysteine and methionine metabolism,h2s[c] + suchms[c] --> h[c] + hcys__L[c] + succ[c],Rv0391
242,CYSK2_I,O-Phospho-L-Serine-dependent S-Suflocysteine Synthase,Cysteine and methionine metabolism,h[c] + pser__L[c] + tsul[c] --> pi[c] + scys__L[c],Rv0848
243,CYSM_I,CysO-dependent L-cystein biosynthesis CysM,Cysteine and methionine metabolism,cysOsh[c] + pser__L[c] --> cysOcys__L[c] + pi[c],Rv1336
244,CYSM_II,CysO-dependent L-cystein biosynthesis Mec+,Cysteine and methionine metabolism,cysOcys__L[c] --> cysO[c] + cys__L[c],Rv1334
245,CYSO_I,CysO Adenylation by MoeZ,Cysteine and methionine metabolism,atp[c] + cysO[c] + h2o[c] --> cysOamp[c] + h[c] + ppi[c],Rv3206c
246,CYSO_II,CysO Sulfuration by MoeZ,Cysteine and methionine metabolism,cysOamp[c] + h2s[c] --> amp[c] + cysOsh[c],Rv3206c
247,MTAP,5  methylthioadenosine phosphorylase,Cysteine and methionine metabolism,5mta[c] + pi[c] --> 5mdr1p[c] + ade[c],Rv0535
248,EPH,Epoxide hydrolysis,Degradation/Utilization/Assimilation,epox[c] + h2o[c] <=> dhocdc[c],Rv1124 or Rv3176c or Rv1938 or Rv0134 or Rv3617 or Rv3670 or Rv2740
249,EGTB,EGTB,Ergothioneine biosynthesis,glucys[c] + hercyn[c] + o2[c] --> gluhercyso[c],Rv3703c
250,EGTC,EGTC,Ergothioneine biosynthesis,fadh2[c] + gluhercyso[c] --> fad[c] + glu__L[c] + hercyso[c],Rv3702c
251,EGTE,EGTE,Ergothioneine biosynthesis,hercyso[c] --> ergoth[c] + nh4[c] + pyr[c],Rv3700c
252,EX_acysbmn_e,EX acysbmn LPAREN e RPAREN ,Extracellular exchange,acysbmn[e] <=> ,
253,EX_ala_B_e,Beta-Alanine exchange,Extracellular exchange,ala_B[e] <=> ,
254,EX_ala__D_e,D-Alanine exchange,Extracellular exchange,ala__D[e] <=> ,
255,EX_ala__L_e,L-Alanine exchange,Extracellular exchange,ala__L[e] <=> ,
256,EX_arab__D_e,D Arabinose exchange,Extracellular exchange,arab__D[e] <=> ,
257,EX_arab__L_e,L-Arabinose exchange,Extracellular exchange,arab__L[e] <=> ,
258,EX_arg__L_e,L-Arginine exchange,Extracellular exchange,arg__L[e] <=> ,
259,EX_asn__L_e,L-Asparagine exchange,Extracellular exchange,asn__L[e] <=> ,
260,EX_asp__L_e,L-Aspartate exchange,Extracellular exchange,asp__L[e] <=> ,
261,EX_atp_e,EX atp LPAREN e RPAREN ,Extracellular exchange,atp[e] <=> ,
262,EX_bmn_e,EX bmn LPAREN e RPAREN ,Extracellular exchange,bmn[e] <=> ,
263,EX_ca2_e,Calcium exchange,Extracellular exchange,ca2[e] <=> ,
264,EX_chol_e,Choline exchange,Extracellular exchange,chol[e] <=> ,
265,EX_cit_e,Citrate exchange,Extracellular exchange,cit[e] <=> ,
266,EX_cl_e,Chloride exchange,Extracellular exchange,cl[e] <=> ,
267,EX_co2_e,CO2 exchange,Extracellular exchange,co2[e] <=> ,
268,EX_coa_e,EX coa LPAREN e RPAREN ,Extracellular exchange,coa[e] <=> ,
269,EX_cobalt2_e,Co2+ exchange,Extracellular exchange,cobalt2[e] <=> ,
270,EX_crn_e,L-Carnitine exchange,Extracellular exchange,crn[e] <=> ,
271,EX_cu2_e,Cu2+ exchange,Extracellular exchange,cu2[e] <=> ,
272,EX_cytd_e,Cytidine exchange,Extracellular exchange,cytd[e] <=> ,
273,EX_etha_e,Ethanolamine exchange,Extracellular exchange,etha[e] <=> ,
274,EX_fe2_e,Fe2+ exchange,Extracellular exchange,fe2[e] <=> ,
275,EX_fe3_e,Fe3+ exchange,Extracellular exchange,fe3[e] <=> ,
276,EX_fum_e,Fumarate exchange,Extracellular exchange,fum[e] <=> ,
277,EX_gal_e,D-Galactose exchange,Extracellular exchange,gal[e] <=> ,
278,EX_glc__D_e,D-Glucose exchange,Extracellular exchange,glc__D[e] <=> ,
279,EX_glu__L_e,L-Glutamate exchange,Extracellular exchange,glu__L[e] <=> ,
280,EX_gly_e,Glycine exchange,Extracellular exchange,gly[e] <=> ,
281,EX_glyb_e,Glycine betaine exchange,Extracellular exchange,glyb[e] <=> ,
282,EX_glyc3p_e,Glycerol 3-phosphate exchange,Extracellular exchange,glyc3p[e] <=> ,
283,EX_glyc_e,Glycerol exchange,Extracellular exchange,glyc[e] <=> ,
284,EX_gthrd_e,Reduced glutathione exchange,Extracellular exchange,gthrd[e] <=> ,
285,EX_h2_e,H2 exchange,Extracellular exchange,h2[e] <=> ,
286,EX_h2co3_e,EX h2co3 LPAREN e RPAREN ,Extracellular exchange,h2co3[e] <=> ,
287,EX_h2o_e,H2O exchange,Extracellular exchange,h2o[e] <=> ,
288,EX_h2s_e,Hydrogen sulfide exchange,Extracellular exchange,h2s[e] <=> ,
289,EX_h_e,H+ exchange,Extracellular exchange,h[e] <=> ,
290,EX_hdca_e,Hexadecanoate (n-C16:0) exchange,Extracellular exchange,hdca[e] <=> ,
291,EX_his__L_e,L-Histidine exchange,Extracellular exchange,his__L[e] <=> ,
292,EX_id3acald_e,Indole 3 acetaldehyde exchange,Extracellular exchange,id3acald[e] <=> ,
293,EX_ile__L_e,L-Isoleucine exchange,Extracellular exchange,ile__L[e] <=> ,
294,EX_k_e,K+ exchange,Extracellular exchange,k[e] <=> ,
295,EX_lac__L_e,L-Lactate exchange,Extracellular exchange,lac__L[e] <=> ,
296,EX_lcts_e,Lactose exchange,Extracellular exchange,lcts[e] <=> ,
297,EX_leu__L_e,L-Leucine exchange,Extracellular exchange,leu__L[e] <=> ,
298,EX_lys__L_e,L-Lysine exchange,Extracellular exchange,lys__L[e] <=> ,
299,EX_mal__L_e,L-Malate exchange,Extracellular exchange,mal__L[e] <=> ,
300,EX_malt_e,Maltose exchange,Extracellular exchange,malt[e] <=> ,
301,EX_malthp_e,EX malthp LPAREN e RPAREN ,Extracellular exchange,malthp[e] <=> ,
302,EX_meoh_e,Methanol exchange,Extracellular exchange,meoh[e] <=> ,
303,EX_met__L_e,L-Methionine exchange,Extracellular exchange,met__L[e] <=> ,
304,EX_mg2_e,Mg exchange,Extracellular exchange,mg2[e] <=> ,
305,EX_na1_e,Sodium exchange,Extracellular exchange,na1[e] <=> ,
306,EX_nh4_e,Ammonia exchange,Extracellular exchange,nh4[e] <=> ,
307,EX_no2_e,Nitrite exchange,Extracellular exchange,no2[e] <=> ,
308,EX_no3_e,Nitrate exchange,Extracellular exchange,no3[e] <=> ,
309,EX_no_e,Nitric oxide exchange,Extracellular exchange,no[e] <=> ,
310,EX_o2_e,O2 exchange,Extracellular exchange,o2[e] <=> ,
311,EX_ocdca_e,Octadecanoate (n-C18:0) exchange,Extracellular exchange,ocdca[e] <=> ,
312,EX_orn_e,Ornithine exchange,Extracellular exchange,orn[e] <=> ,
